,id,title,author,genre,platform,story,age,rate,complete,free,thumbnail,website
0,0,아기가 생겼어요 [연재],"강기, 이정",로맨스,레진코믹스,윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다. 설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데. 덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5564344987877376/images/tall.webp?updated=1606719928639&width=214,https://www.lezhin.com/ko/comic/i_have_a_baby
1,1,미스타임 (Miss time) [연재],"봉구씨, 경섭",로맨스,레진코믹스,"퍼스널 트레이너로 성공한 골드미스 이가온, 독설로 유명한 로맨스 작가, 지호와 원수관계에 놓이다? 가온은 웬수덩어리 친구 세라의 결혼식에 갔다가 얼떨결에 세라의 도주(?)를 돕게 되고 그 과정에서 신랑이었던 지호와 서로를 맹렬하게 비난하는...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4978865662394368/images/tall.webp?updated=1614912988324&width=214,https://www.lezhin.com/ko/comic/miss_time
2,2,소라해나! [연재],작불,백합,레진코믹스,"""저, 남자친구가 생기게 도와주세요!!"" ""좋아, 대신 내가 대학가게 도와줘♪"" 얼떨결에 양아치 우해나의 인생을 책임지게 된 명문제일여고 전교 1등 윤소라. 설상가상으로 소라가 설레는 건, ‘남자친구 후보’가 아니라 ‘해나 언니’인데...?! 거짓말 때문에...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4968786635063296/images/tall.webp?updated=1616406856770&width=214,https://www.lezhin.com/ko/comic/sorahaena
3,3,LOVE WINS,목도리,백합,레진코믹스,「 레진챌린지에서 독자들의 정신이 아찔해지게 웃기고 설렜던 선 결혼 후 연애 로맨스!! 」 동성혼 합법화 소식에 들떠 번개에 나간 모쏠 레즈 이다연. 술에 취해 모르는 여자와 혼인신고를 해버렸다....!?,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4527189402124288/images/tall.webp?updated=1628218618659&width=214,https://www.lezhin.com/ko/comic/lovewins
4,4,말할 수 없는 남매,윌로우,로맨스,레진코믹스,전학 첫 날부터 큰 사고를 쳤다. 첫눈에 반한 남학생의 관심을 끌기위해 오빠와 사귄다는 거짓말로 학교를 발칵 뒤집어 놓은 다이너마이트 남매의 학교생활. 탄탄한 실력을 갖춘 윌로우님의 장편 데뷔작.,15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/99/images/tall.webp?updated=1610007299725&width=214,https://www.lezhin.com/ko/comic/my_secret_brother
5,5,대표님의 삐뚤어진 사랑 [연재],"Hongshu, Rose Studio, Nianhuarexiao",로맨스,레진코믹스,"""도망쳐 봐야 내 손바닥 안이지."" 자신을 버린 전 남자 친구에게 복수하기 위해 악마 같은 남자 강재준과 계약을 하게 된 문가영. 그런데 이 남자 정말 괜찮은 걸까? 문가영은 자신의 주변인들까지 조여오는...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5459019290705920/images/tall.webp?updated=1620023306380&width=214,https://www.lezhin.com/ko/comic/ceos_crooked_love
6,6,citrus 시트러스,사부로우타,백합,레진코믹스,"외모는 영락없이 노는 여고생이지만 한 번도 사랑을 해본 적 없는 유즈는, 부모님의 재혼으로 전학가게 된다.남자친구가 안 생겨! 하고 불만이 폭발한 전학 첫날, 검은 머리 미인인 학생회장 메이와 최악의 방식으로 만나게...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/4520115655147520/images/tall.webp?updated=1627269359550&width=214,https://www.lezhin.com/ko/comic/citrus
7,7,메리 고 라운드,나솔,로맨스,레진코믹스,"열아홉의 우리. 콤플렉스 투성이었던 나와 염치 없이 사랑스러웠던 너희들. 아무것도 할 수 없어 비참했지만 무엇이든 가능할 거라 믿었기에 즐거웠던 그때 그 찬란한 시절로, 메리-고-라운드.",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/5274670161854464/images/tall.webp?updated=1608254172775&width=214,https://www.lezhin.com/ko/comic/merry_go_round
8,8,오타쿠에게 사랑은 어려워,후지타,로맨스,레진코믹스,"나루미는 매번 오타쿠라는 이유로 차이고, 그럴 때마다 게임 오타쿠인 히로타카에게 하소연한다. 사귀는 게 아까울 정도로 죽이 잘 맞던 두 사람, 둘의 관계에 변화가 일어나는데! ""나라면 아이템 수집이든 렙업이든 얼마든지 같이...",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/6466786480095232/images/tall.webp?updated=1626671868338&width=214,https://www.lezhin.com/ko/comic/otakoi
9,9,우리사이느은,이연지,로맨스,레진코믹스,"멀어질 수도, 그렇다고 연인이 될 수도 없는 사이. 파스텔 톤처럼 따스하지만, 원색처럼 뜨겁지 못해 애매한 우리. 모두를 두근거리게 할 캠퍼스 로맨스가 시작됩니다.",15,null,연재중,유료,https://ccdn.lezhin.com/v2/comics/272/images/tall.webp?updated=1602323552147&width=214,https://www.lezhin.com/ko/comic/woori
