,id,title,author,day,genre,story,platform,age,free,complete,thumbnail,web,rate,title
0,0,신의 탑,SIU,월,"스토리, 판타지","자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/183559/thumbnail/thumbnail_IMAG06_b1272b70-7eb4-4c1e-bc08-50bf924e73be.jpg,https://comic.naver.com/webtoon/list?titleId=183559&amp;weekday=mon,9.93,신의 탑
1,1,참교육,채용택 / 한가람,월,"스토리, 액션","무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
&lt;부활남&gt; 채용택 작가 X &lt;신석기녀&gt; 한가람 작가의 신작!",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/758037/thumbnail/thumbnail_IMAG06_794bcc1e-23aa-4c35-a335-b5d21b4bc2ab.jpg,https://comic.naver.com/webtoon/list?titleId=758037&amp;weekday=mon,9.84,참교육
2,2,뷰티풀 군바리,설이 / 윤성원,월,"스토리, 드라마",여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/648419/thumbnail/thumbnail_IMAG06_44119122-8568-4293-9159-a99e2a6b0558.jpg,https://comic.naver.com/webtoon/list?titleId=648419&amp;weekday=mon,9.82,뷰티풀 군바리
3,3,윈드브레이커,조용석,월,"스토리, 스포츠","혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/602910/thumbnail/thumbnail_IMAG06_b99a35be-7ac0-465f-8dfe-a22408f9af7d.jpg,https://comic.naver.com/webtoon/list?titleId=602910&amp;weekday=mon,9.87,윈드브레이커
4,4,백수세끼,치즈,월,"스토리, 드라마","백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/733074/thumbnail/thumbnail_IMAG06_0d8a0c1c-30a2-4e72-94a9-59c272266c1e.jpg,https://comic.naver.com/webtoon/list?titleId=733074&amp;weekday=mon,9.86,백수세끼
5,5,신입일기,자까,월,"에피소드, 일상",본 컨텐츠는 유진투자증권의 브랜드웹툰으로 자까가 들려주는 '신입일기'입니다. 보수적인 증권사? 이 구역에 진짜가 나타났다! 좌충우돌 증권사 라이프. 많은 기대 부탁드립니다.,네이버 웹툰,0,1,0,https://shared-comic.pstatic.net/thumb/webtoon/773419/thumbnail/thumbnail_IMAG06_57f55182-a561-4993-8037-f382b92c82f3.jpg,https://comic.naver.com/webtoon/list?titleId=773419&amp;weekday=mon,9.95,신입일기
6,6,파이게임,배진수,월,"스토리, 스릴러","시간이 흐르면 돈이 쌓인다.
피가 흐르면 시간이 쌓인다.
과연 최후에 남을 상금과 승자는 누가 될 것인가?
짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 &lt;머니게임&gt;의 후속편!",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/749632/thumbnail/thumbnail_IMAG06_71e33cf0-ed99-473e-a10d-e17ee46a8dc6.jpg,https://comic.naver.com/webtoon/list?titleId=749632&amp;weekday=mon,9.59,파이게임
7,7,장씨세가 호위무사,조형근 / 김인호,월,"스토리, 액션","‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",네이버 웹툰,12,1,0,https://shared-comic.pstatic.net/thumb/webtoon/728750/thumbnail/thumbnail_IMAG06_50aeb870-ee3e-47e4-bb38-a0d01e49ec8f.jpg,https://comic.naver.com/webtoon/list?titleId=728750&amp;weekday=mon,9.97,장씨세가 호위무사
8,8,앵무살수,김성진,월,"스토리, 판타지","평범한 뱃사공으로 살고 있는 노소하. 
하지만 그의 정체는 전설적인 구파검법의 후계자다. 
이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/739115/thumbnail/thumbnail_IMAG06_7b590828-5c9b-4b6e-879d-508c4149a636.jpg,https://comic.naver.com/webtoon/list?titleId=739115&amp;weekday=mon,9.98,앵무살수
9,9,삼매경,이원식 / 꿀찬,월,"스토리, 액션","학력도 재력도 변변찮은 그에게 초능력이 생겼다. 
하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...",네이버 웹툰,15,1,0,https://shared-comic.pstatic.net/thumb/webtoon/769317/thumbnail/thumbnail_IMAG06_4d6497b8-9a3b-45f4-8898-b7aaa324b011.jpg,https://comic.naver.com/webtoon/list?titleId=769317&amp;weekday=mon,8.88,삼매경
