,id,title,author,genre,story,platform,age,complete,thumbnail,web,rate,free
0,0,마물전담부대,염손,"스토리, 판타지","마법혁명으로 근대화를 이룬 판타지 세계.
하지만 이러한 세계에서도 마물은 여전히 인류를 위협하는 요소였고,
이를 위해 각 국가는 마물 퇴치를 위한 조직 &lt;마물전담부대&gt;를 조직한다.

평범한 소시민이었던 리건은 엉겁결에 &lt;마물전담부대&gt;에 입대하게 되고,
여기서 열심히 구르며 고생하는 리건의 이야기가 시작된다.
본의 아니게 입대를 하게 되었지만 신입 부대원은 자신 한명 뿐이었고,
선임들의 집중교육과 목숨이 오가는 전투 속에서 리건은 점점 강해진다.
하지만 리건이 상대하는 마물 역시 만만치 않은 존재이기에
리건은 눈물 겨운 사투는 계속 이어진다…!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773644/thumbnail/thumbnail_IMAG06_4ac041cd-6275-4034-afd7-7a241e61eb51.jpg,https://comic.naver.com/webtoon/list?titleId=773644,9.11,2
1,1,불릿,김도근,"스토리, 스포츠","축구부 에이스, 좋아하는 선배에게 고백하려 했는데... 에어소프트 게임 마스터가 된다?!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/738843/thumbnail/thumbnail_IMAG06_2cffd372-4e4d-4800-bbc0-71fd8ac16992.jpg,https://comic.naver.com/webtoon/list?titleId=738843,9.89,1
2,2,더,공현곤,"스토리, 스릴러",수천년 전 조상들의 경주로 정해진 12인의 운명. 자리를 지키려는 1등과 바꾸려는 12등의 살벌한 대결!,네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/747637/thumbnail/thumbnail_IMAG06_41a9c63d-642f-43df-b25f-27bfe8548e01.jpg,https://comic.naver.com/webtoon/list?titleId=747637,9.94,1
3,3,각자의,오묘,"스토리, 로맨스","헤어졌지만 헤어지지 않은 사이
솔직하지 못한 우리들 어떻게 될까요?",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/749055/thumbnail/thumbnail_IMAG06_b1e0caa9-f3b9-4a03-8efb-5e2551b81945.jpg,https://comic.naver.com/webtoon/list?titleId=749055,9.97,1
4,4,노선도,효기,"스토리, 스릴러","암호화폐 투자 실패로 모든 걸 잃은 평범한 40대 회사원 '권한수'.
절망한 그의 앞에 우연히 현금 20억이 든 황금색 캐리어가 나타나지만,
오히려 점점 더 깊은 함정에 빠지고 만다.",네이버 웹툰,15,1,https://shared-comic.pstatic.net/thumb/webtoon/745473/thumbnail/thumbnail_IMAG06_fab4a0af-e819-4588-b32d-724c67a6353c.jpg,https://comic.naver.com/webtoon/list?titleId=745473,9.82,1
5,5,말하는대로,무브,"스토리, 드라마","꿈도 목표도 없이 하루하루를 살아가던 평범한 고등학교 3학년생 주현. 
어느 날부터 갑자기 그녀가 말하는 모든 것들이 실제로 이루어지게 된다.
특별한 능력을 가지게 되었지만, 그만큼 말하는 것이 편하지만은 않은데... 
그녀의 평범하고 반복적이던 일상이 조금씩 뒤틀리기 시작한다!",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/761596/thumbnail/thumbnail_IMAG06_1f42932d-6ffa-440d-ab80-6abf18840928.jpg,https://comic.naver.com/webtoon/list?titleId=761596,9.9,1
6,6,연주동,후던잇,"스토리, 스릴러","프로파일러가 되고 싶은 평범한 고3 권성찬.
고등학교 졸업 후 대학을 안 가겠다 선언해 부모님과 크게 갈등한다.

늦게 하교하며 가족들과 냉랭하게 지내던 어느 비 오는 밤,
성찬의 집에서 일가족이 살해당하는 사건이 발생하게 되는데 성찬의 손에 흉기가 들려 있다.

현장에서 바로 잡혀간 성찬은 본인의 누명을 벗고, 살인사건의 진실을 파헤치기 위해 가족의 흔적을 추적해간다.
성찬은 몰랐던 가족들의 모습을 알아가며 진범을 잡을 실마리를 하나씩 풀게 된다.",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773648/thumbnail/thumbnail_IMAG06_0110cb5a-a9bb-40f5-9a11-581c6620afe5.jpg,https://comic.naver.com/webtoon/list?titleId=773648,9.58,2
7,7,의도적,보민,"스토리, 스릴러","미지의 바이러스 창궐 
극한의 상황 속에서 펼쳐지는 
그들의 의도적인 외면",네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773650/thumbnail/thumbnail_IMAG06_48c275ab-3ad5-4f0c-a0cd-d058b3dc3e22.jpg,https://comic.naver.com/webtoon/list?titleId=773650,9.57,2
8,8,맘마미안,미티 / 구구,"스토리, 드라마","아들보다 어려진 엄마?!
다 큰 아들의 목숨을 건 엄마 뒷바라지!",네이버 웹툰,12,1,https://shared-comic.pstatic.net/thumb/webtoon/729326/thumbnail/thumbnail_IMAG06_f0d1872a-5d19-4038-ba8a-2a831beb36e9.jpg,https://comic.naver.com/webtoon/list?titleId=729326,9.96,1
9,9,로맨스는,박시현 / 라미아,"스토리, 로맨스",무자비한 킬러 '사냥개' 현주와 순수한(?) 마약판매상 정우가 펼치는 액션로맨스코미디.,네이버 웹툰,0,1,https://shared-comic.pstatic.net/thumb/webtoon/773645/thumbnail/thumbnail_IMAG06_d1a7ab50-3429-4844-bfb3-ace92fcd751c.jpg,https://comic.naver.com/webtoon/list?titleId=773645,9.12,2
