,동,전체산업,소매업_자동차_제외_사업체수,숙박_음식점업_사업체수,학교수,학원수,소매업_자동차_제외_종사자수,숙박_음식점업_종사자수,총인구_합계,한국인_세대수,하천,20대이하,20대,30대,40대,50대,60대,자전거도로갯수,관광지개수,버스정류장 개수
2,동서학동,447,81,80,2,15,163,210,6784,3226,0,2216.416667,4222.581667,6660.898333,9821.903333,11430.505,14956.53167,6,0,12
3,서서학동,512,92,67,0,12,147,114,9223,4426,0,1776.725,2406.133333,3339.381667,4809.505,5222.346667,8052.013333,2,1,8
4,중화산1동,926,172,262,6,42,518,921,15288,6203,1,7063.136667,12580.65667,13598.37333,18024.13,17729.24833,23538.33,3,0,11
5,중화산2동,"2,629",353,499,2,222,834,"1,545",20030,8540,1,9930.943333,16559.76667,20152.22333,27694.33667,24293.525,22298.69833,6,0,13
6,평화1동,658,112,103,3,15,266,256,13204,6804,0,2783.241667,3508.723333,4878.001667,6770.443333,7082.258333,8944.766667,5,0,6
7,평화2동,"2,404",411,387,2,211,"1,160","1,192",46295,17767,1,21018.43333,20923.29833,30533.11333,43817.755,40550.925,48320.56667,5,0,23
8,서신동,"3,287",842,585,3,263,"2,653","1,720",40408,15991,1,13822.49667,23613.73833,30008.22,42011.33833,38277.865,35784.34333,6,0,36
9,삼천1동,998,121,92,0,29,224,184,12799,5295,1,3264.638333,3902.166667,5044.966667,7041.133333,6804.763333,8173.196667,2,0,8
10,삼천2동,"1,045",273,212,1,47,554,506,14447,6070,1,5304.563333,5724.433333,7027.961667,10368.7,9878.655,11976.565,5,0,14
11,삼천3동,"1,227",173,231,5,105,618,739,23323,8885,0,14266.08167,13183.67667,21911.45667,32869.01833,33304.17333,31027.47,5,0,19
12,효자1동,893,161,73,1,31,371,193,11784,4936,1,5396.53,6975.921667,8336.52,11563.07833,12695.41667,20392.71,3,0,7
13,효자2동,"1,104",204,145,1,41,435,383,10861,4576,1,3494.825,5824.943333,7280.031667,9706.933333,9585.953333,11030.59167,4,0,20
14,효자3동,"1,033",276,149,2,120,888,526,15758,5822,1,5585.985,7695.966667,9785.875,12471.425,12001.38,13302.705,2,0,8
15,중앙동,"2,917","1,079",612,0,51,"2,096","1,900",8073,3932,0,4950.55,13646.195,10548.50667,11799.06167,11884.69833,15960.84,4,4,9
16,풍남동,"2,293",678,732,2,57,"1,291","1,654",4521,2538,0,5549.135,11645.32833,12015.45833,14773.89667,15085.14667,20874.34,5,3,17
17,노송동,"1,916",564,253,3,37,"1,399",607,13189,6397,0,6011.516667,13385.46,13539.30833,17458.475,16607.90667,22571.16,5,0,16
18,완산동,325,78,23,1,3,130,46,5148,2618,0,1206.576667,2269.845,2440.893333,3469.413333,3917.993333,5947.976667,2,0,6
19,효자4동,"1,978",352,393,14,183,862,"1,275",33756,13022,0,18716.29667,29853.98333,33909.20333,43911.66333,36373.67667,29094.48833,8,0,31
20,효자5동,"4,050",649,844,5,221,"2,053","3,396",37898,16683,0,16956.51333,37317.01,41702.15333,51564.61667,40079.5,27420.14,9,0,10
22,인후1동,"1,025",159,159,1,107,350,424,19047,7318,0,6039.915,6324.048333,8709.893333,13797.29667,11886.09,13783.975,2,0,17
23,인후2동,"1,243",317,166,5,18,599,402,12094,5777,0,3619.321667,7233.466667,8022.383333,11572.915,11660.09833,14311.00833,4,0,13
24,인후3동,"2,049",359,350,2,174,897,"1,031",32426,13710,0,8634.218333,11655.74833,16279.05167,23580.48333,19288.00333,19324.55667,7,0,17
25,덕진동,"2,206",388,499,15,107,915,"1,789",21215,9427,1,6314.931667,19982.08167,18613.51,23007.20333,20947.335,20780.46,10,1,29
26,금암1동,"1,420",215,401,1,50,597,"1,238",8824,4679,1,4322.526667,16680.31667,13631.12167,16154.09667,16232.00833,20149.69333,5,0,16
27,금암2동,769,152,137,2,22,416,304,10714,4989,0,2331.94,8520.998333,7211.581667,8647.616667,8638.466667,11480.345,5,0,7
28,팔복동,"1,807",139,120,0,13,436,348,8300,4211,1,5181.585,12935.14,22350.64167,31448.55667,28347.18833,21852.61667,5,0,15
29,우아1동,"1,081",188,268,2,25,509,617,10096,4704,1,2694.526667,7112.681667,8863.096667,12725.84333,13033.76333,13158.43,3,1,16
30,우아2동,"1,535",175,476,1,32,444,"1,343",15125,7360,1,3999.245,8227.721667,12971.715,19769.62667,19728.28333,17651.89333,4,0,14
31,호성동,"1,138",132,136,1,87,297,473,21154,7835,1,3619.268333,5837.678333,10526.74,15693.20667,14796.26333,14023.23167,4,0,19
32,송천1동,"2,480",391,451,5,308,"1,130","1,776",59376,20428,1,22195.01,23461.38167,36201.52833,43906.06667,33005.995,28032.38667,11,0,26
33,송천2동,"2,272",383,298,1,108,953,"1,001",26748,9832,1,13794.00167,19971.72333,30860.42,42962.94333,37292.25667,34041.27833,6,0,16
34,조촌동,946,117,88,0,26,282,246,12133,5743,0,8669.866667,14614.73833,24687.265,32673.69667,31065.94167,29319.70167,5,0,9
35,진북동,"1,358",129,155,2,45,317,378,14924,6821,1,3621.53,8557.711667,10098.67,13704.29667,13712.53667,17440.02333,6,0,16
36,혁신동,879,36,171,3,147,115,608,17925,5462,0,12764.85167,10756.80167,19784.87833,28063.86833,16080.53667,11013.25833,7,2,10
37,여의동,"2,309",191,248,4,107,749,856,30208,11726,0,16667.20167,24577.19167,45237.95333,53767.93,44298.68167,38666.585,18,,55
