,동,전체산업,소매업_자동차_제외_사업체수,숙박_음식점업_사업체수,초등_교육기관_사업체수,중등_교육기관_사업체수,고등_교육기관_사업체수,특수학교_외국인학교_대안학교_사업체수,일반교습학원_사업체수,기타교육기관_사업체수,교육지원_서비스업_사업체수,보건업_사회복지_서비스업_사업체수,보건업_사업체수,병원_사업체수,전체산업.1,소매업_자동차_제외_종사자수,숙박_음식점업_종사자수,초등_교육기관_종사자수,중등_교육기관_종사자수,고등_교육기관_종사자수,특수학교_외국인학교_대안학교_종사자수,일반교습학원_종사자수,기타교육기관_종사자수,교육지원_서비스업_종사자수,보건업_사회복지_서비스업_종사자수,보건업_종사자수,병원_종사자수,총인구_합계,남자인구_합계,여자인구_합계,한국인_세대수,한국인_총인구,한국인_남자인구,한국인_여자인구,외국인_총인구,외국인_남자인구,외국인_여자인구,하천,남자20대이하,남자20대,남자30대,남자40대,남자50대,남자60대이상,여자20대이하,여자20대,여자30대,여자40대,여자50대,여자60대이상,자전거도로갯수,관광지개수,버스정류장 개수
2,동서학동,447,81,80,2.0,0.0,2.0,0.0,6,9,0.0,21,2,0.0,"1,910",163,210,24,0,82,0.0,9,43,0.0,331,10,0,6784.0,3354.0,3430.0,3226.0,6747.0,3345.0,3402.0,37.0,9.0,28.0,0.0,1094.0099999999995,2250.4099999999967,3855.0883333333386,6263.715000000003,7157.871666666659,8887.713333333359,1122.4066666666665,1972.1716666666634,2805.809999999998,3558.1883333333335,4272.633333333333,6068.81833333334,6.0,0.0,12.0
3,서서학동,512,92,67,3.0,0.0,0.0,0.0,4,8,0.0,25,10,2.0,"1,706",147,114,141,0,0,0.0,12,17,0.0,547,156,112,9223.0,4488.0,4735.0,4426.0,9141.0,4454.0,4687.0,82.0,34.0,48.0,0.0,805.6333333333336,1252.3616666666667,1734.0666666666666,2638.5816666666697,2819.67,4426.356666666667,971.0916666666667,1153.7716666666668,1605.3149999999998,2170.923333333333,2402.6766666666667,3625.656666666667,2.0,1.0,8.0
4,중화산1동,926,172,262,3.0,3.0,3.0,0.0,16,26,2.0,51,28,7.0,"6,315",518,921,93,232,146,0.0,64,63,2.0,"2,646","2,319","2,175",15288.0,7406.0,7882.0,6203.0,15136.0,7321.0,7815.0,152.0,85.0,67.0,1.0,3476.7100000000014,5567.174999999998,7096.921666666666,9313.193333333342,9222.445000000007,12242.258333333333,3586.4266666666686,7013.4816666666675,6501.451666666667,8710.936666666668,8506.80333333333,11296.071666666665,3.0,0.0,11.0
5,중화산2동,"2,629",353,499,7.0,2.0,0.0,0.0,139,83,2.0,78,38,3.0,"11,112",834,"1,545",221,157,0,0.0,547,177,3.0,817,441,121,20030.0,9980.0,10050.0,8540.0,19906.0,9923.0,9983.0,124.0,57.0,67.0,1.0,4715.9033333333355,8508.210000000006,11279.678333333335,15160.896666666667,14156.82,12719.108333333332,5215.040000000002,8051.556666666665,8872.545000000011,12533.44,10136.705000000004,9579.590000000002,6.0,0.0,13.0
6,평화1동,658,112,103,2.0,3.0,0.0,0.0,5,10,1.0,40,16,4.0,"2,343",266,256,46,132,0,0.0,11,17,2.0,866,342,269,13204.0,6318.0,6886.0,6804.0,12976.0,6247.0,6729.0,228.0,71.0,157.0,0.0,1397.3633333333335,1724.0683333333336,2584.36,3518.193333333333,3761.9466666666667,4743.3516666666665,1385.8783333333333,1784.655,2293.641666666667,3252.25,3320.3116666666665,4201.415000000002,5.0,0.0,6.0
7,평화2동,"2,404",411,387,15.0,2.0,0.0,0.0,101,110,0.0,162,60,4.0,"9,928","1,160","1,192",365,99,0,0.0,280,203,0.0,"2,250",624,285,46295.0,22356.0,23939.0,17767.0,46205.0,22334.0,23871.0,90.0,22.0,68.0,1.0,10495.635000000004,10368.776666666674,15395.46,22391.50166666665,21565.89666666665,25634.989999999987,10522.798333333341,10554.521666666667,15137.653333333334,21426.253333333352,18985.028333333317,22685.576666666686,5.0,0.0,23.0
8,서신동,"3,287",842,585,14.0,3.0,0.0,0.0,138,125,6.0,162,98,2.0,"13,808","2,653","1,720",390,249,0,0.0,491,328,14.0,"1,566",743,72,40408.0,19743.0,20665.0,15991.0,40261.0,19692.0,20569.0,147.0,51.0,96.0,1.0,6618.533333333336,11923.621666666666,16267.18,22014.774999999998,21388.585,20251.056666666667,7203.963333333334,11690.116666666667,13741.039999999999,19996.563333333335,16889.28,15533.286666666667,6.0,0.0,36.0
9,삼천1동,998,121,92,2.0,0.0,0.0,0.0,9,20,0.0,38,18,2.0,"2,101",224,184,45,0,0,0.0,14,34,0.0,306,187,77,12799.0,6215.0,6584.0,5295.0,12736.0,6196.0,6540.0,63.0,19.0,44.0,1.0,1633.925,1941.5866666666664,2591.4750000000004,3635.2066666666665,3693.5833333333335,4503.038333333334,1630.7133333333334,1960.58,2453.491666666667,3405.9266666666663,3111.18,3670.1583333333333,2.0,0.0,8.0
10,삼천2동,"1,045",273,212,3.0,1.0,0.0,0.0,21,26,0.0,32,18,1.0,"3,008",554,506,89,39,0,0.0,57,45,0.0,380,247,186,14447.0,6955.0,7492.0,6070.0,14367.0,6931.0,7436.0,80.0,24.0,56.0,1.0,2788.9466666666663,2831.403333333333,3606.4966666666674,5281.136666666666,5145.948333333334,6130.7266666666665,2515.616666666667,2893.03,3421.465,5087.5633333333335,4732.706666666668,5845.838333333333,5.0,0.0,14.0
11,삼천3동,"1,227",173,231,9.0,5.0,0.0,0.0,57,48,2.0,76,17,5.0,"5,858",618,739,217,308,0,0.0,128,104,3.0,"1,187",484,426,23323.0,11341.0,11982.0,8885.0,23248.0,11309.0,11939.0,75.0,32.0,43.0,0.0,8229.024999999994,6859.836666666667,12019.996666666666,18328.88333333335,19617.131666666668,17790.325,6037.056666666664,6323.839999999992,9891.460000000003,14540.135,13687.041666666666,13237.145000000002,5.0,0.0,19.0
